any,territori,codi_municipi,nom,illa,nivell,us,num_bens,valor_total_milers_eur,valor_mitja_eur
2025,07003 Alcúdia,07003,Alcúdia,MALLORCA,Municipi,Industrial,483.0,52921.49,109568.3
2025,07003 Alcúdia,07003,Alcúdia,MALLORCA,Municipi,Deportivo,54.0,40982.2,758929.63
2025,07003 Alcúdia,07003,Alcúdia,MALLORCA,Municipi,Suelo vacante,1129.0,115055.67,101909.36
2025,07003 Alcúdia,07003,Alcúdia,MALLORCA,Municipi,Oficinas,69.0,6832.5,99021.74
2025,07003 Alcúdia,07003,Alcúdia,MALLORCA,Municipi,Edificio singular,20.0,1805.33,90266.5
2025,07003 Alcúdia,07003,Alcúdia,MALLORCA,Municipi,Religioso,5.0,4347.46,869492.0
2025,07003 Alcúdia,07003,Alcúdia,MALLORCA,Municipi,Espectáculos,2.0,,
2025,07003 Alcúdia,07003,Alcúdia,MALLORCA,Municipi,Residencial,12232.0,1232786.04,100783.69
2025,07003 Alcúdia,07003,Alcúdia,MALLORCA,Municipi,Sanidad y beneficencia,8.0,5489.6,686200.0
2025,07003 Alcúdia,07003,Alcúdia,MALLORCA,Municipi,Otros usos,,,
2025,07004 Algaida,07004,Algaida,MALLORCA,Municipi,TOTAL USOS,2761.0,248336.63,89944.45
2025,07004 Algaida,07004,Algaida,MALLORCA,Municipi,Almacén y estacionamiento,382.0,6654.16,17419.27
2025,07004 Algaida,07004,Algaida,MALLORCA,Municipi,Comercial,37.0,3514.54,94987.57
2025,07004 Algaida,07004,Algaida,MALLORCA,Municipi,Cultural,3.0,,
2025,07004 Algaida,07004,Algaida,MALLORCA,Municipi,Ocio y hostelería,10.0,3852.09,385209.0
2025,07004 Algaida,07004,Algaida,MALLORCA,Municipi,Industrial,149.0,9742.96,65388.99
2025,07004 Algaida,07004,Algaida,MALLORCA,Municipi,Deportivo,17.0,3645.92,214465.88
2025,07004 Algaida,07004,Algaida,MALLORCA,Municipi,Suelo vacante,394.0,22398.76,56849.64
2025,07004 Algaida,07004,Algaida,MALLORCA,Municipi,Oficinas,7.0,714.47,102067.14
2025,07004 Algaida,07004,Algaida,MALLORCA,Municipi,Edificio singular,3.0,,
