code,parent,urn,name#ca,name#es,name#en,description#ca,description#es,description#en
ES53,,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES53,Illes Balears,Illes Balears,Balearic Islands,,,
ES530,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES53,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES530,Illes Balears,Illes Balears,Balearic Islands,,,
ES532,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES530,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES532,Mallorca,Mallorca,Majorca,,,
07001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES532,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07001,Alaró,Alaró,Alaró,,,
20030101_07001_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D01,Districte D01 - Alaró,Distrito D01 - Alaró,District D01 - Alaró,,,
20030101_07001_D01_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D01_S001,"Districte D01, Secció S001 - Alaró","Distrito D01, Sección S001 - Alaró","District D01, Section S001 - Alaró",,,
20030101_07001_D01_S002,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D01_S002,"Districte D01, Secció S002 - Alaró","Distrito D01, Sección S002 - Alaró","District D01, Section S002 - Alaró",,,
20030101_07001_D01_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D01_O,Resta de Districte D01 - Alaró,Resto de Distrito D01 - Alaró,Rest of District D01 - Alaró,,,
20030101_07001_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D02,Districte D02 - Alaró,Distrito D02 - Alaró,District D02 - Alaró,,,
20030101_07001_D02_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D02_S001,"Districte D02, Secció S001 - Alaró","Distrito D02, Sección S001 - Alaró","District D02, Section S001 - Alaró",,,
20030101_07001_D02_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D02_O,Resta de Districte D02 - Alaró,Resto de Distrito D02 - Alaró,Rest of District D02 - Alaró,,,
07001_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07001_O,Resta d'Alaró,Resto de Alaró,Rest of Alaró,,,
07003,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES532,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07003,Alcúdia,Alcúdia,Alcúdia,,,
20030101_07003_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07003,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01,Districte D01 - Alcúdia,Distrito D01 - Alcúdia,District D01 - Alcúdia,,,
20030101_07003_D01_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01_S001,"Districte D01, Secció S001 - Alcúdia","Distrito D01, Sección S001 - Alcúdia","District D01, Section S001 - Alcúdia",,,
20030101_07003_D01_S002,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01_S002,"Districte D01, Secció S002 - Alcúdia","Distrito D01, Sección S002 - Alcúdia","District D01, Section S002 - Alcúdia",,,
20030101_07003_D01_S003,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01_S003,"Districte D01, Secció S003 - Alcúdia","Distrito D01, Sección S003 - Alcúdia","District D01, Section S003 - Alcúdia",,,
20030101_07003_D01_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01_O,Resta de Districte D01 - Alcúdia,Resto de Distrito D01 - Alcúdia,Rest of District D01 - Alcúdia,,,
20030101_07003_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07003,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D02,Districte D02 - Alcúdia,Distrito D02 - Alcúdia,District D02 - Alcúdia,,,
20030101_07003_D02_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D02_S001,"Districte D02, Secció S001 - Alcúdia","Distrito D02, Sección S001 - Alcúdia","District D02, Section S001 - Alcúdia",,,
20030101_07003_D02_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D02_O,Resta de Districte D02 - Alcúdia,Resto de Distrito D02 - Alcúdia,Rest of District D02 - Alcúdia,,,
20030101_07003_D03,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07003,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D03,Districte D03 - Alcúdia,Distrito D03 - Alcúdia,District D03 - Alcúdia,,,
20030101_07003_D03_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D03,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D03_S001,"Districte D03, Secció S001 - Alcúdia","Distrito D03, Sección S001 - Alcúdia","District D03, Section S001 - Alcúdia",,,
20030101_07003_D03_S002,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D03,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D03_S002,"Districte D03, Secció S002 - Alcúdia","Distrito D03, Sección S002 - Alcúdia","District D03, Section S002 - Alcúdia",,,
20030101_07003_D03_S003,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D03,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D03_S003,"Districte D03, Secció S003 - Alcúdia","Distrito D03, Sección S003 - Alcúdia","District D03, Section S003 - Alcúdia",,,
20030101_07003_D03_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D03,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D03_O,Resta de Districte D03 - Alcúdia,Resto de Distrito D03 - Alcúdia,Rest of District D03 - Alcúdia,,,
20030101_07003_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07003,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D04,Districte D04 - Alcúdia,Distrito D04 - Alcúdia,District D04 - Alcúdia,,,
20030101_07003_D04_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D04_S001,"Districte D04, Secció S001 - Alcúdia","Distrito D04, Sección S001 - Alcúdia","District D04, Section S001 - Alcúdia",,,
20030101_07003_D04_S002,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D04_S002,"Districte D04, Secció S002 - Alcúdia","Distrito D04, Sección S002 - Alcúdia","District D04, Section S002 - Alcúdia",,,
20030101_07003_D04_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D04_O,Resta de Districte D04 - Alcúdia,Resto de Distrito D04 - Alcúdia,Rest of District D04 - Alcúdia,,,
07003_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07003,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07003_O,Resta d'Alcúdia,Resto de Alcúdia,Rest of Alcúdia,,,
07004,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES532,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07004,Algaida,Algaida,Algaida,,,
20030101_07004_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07004,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07004_D01,Districte D01 - Algaida,Distrito D01 - Algaida,District D01 - Algaida,,,
20030101_07004_D01_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07004_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07004_D01_S001,"Districte D01, Secció S001 - Algaida","Distrito D01, Sección S001 - Algaida","District D01, Section S001 - Algaida",,,
20030101_07004_D01_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07004_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07004_D01_O,Resta de Districte D01 - Algaida,Resto de Distrito D01 - Algaida,Rest of District D01 - Algaida,,,
20030101_07004_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07004,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07004_D02,Districte D02 - Algaida,Distrito D02 - Algaida,District D02 - Algaida,,,
20030101_07004_D02_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07004_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07004_D02_S001,"Districte D02, Secció S001 - Algaida","Distrito D02, Sección S001 - Algaida","District D02, Section S001 - Algaida",,,
20030101_07004_D02_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07004_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07004_D02_O,Resta de Districte D02 - Algaida,Resto de Distrito D02 - Algaida,Rest of District D02 - Algaida,,,
07004_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07004,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07004_O,Resta d'Algaida,Resto de Algaida,Rest of Algaida,,,
07005,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES532,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07005,Andratx,Andratx,Andratx,,,
20030101_07005_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07005,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D01,Districte D01 - Andratx,Distrito D01 - Andratx,District D01 - Andratx,,,
20030101_07005_D01_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D01_S001,"Districte D01, Secció S001 - Andratx","Distrito D01, Sección S001 - Andratx","District D01, Section S001 - Andratx",,,
20030101_07005_D01_S002,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D01_S002,"Districte D01, Secció S002 - Andratx","Distrito D01, Sección S002 - Andratx","District D01, Section S002 - Andratx",,,
20030101_07005_D01_S003,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D01_S003,"Districte D01, Secció S003 - Andratx","Distrito D01, Sección S003 - Andratx","District D01, Section S003 - Andratx",,,
20030101_07005_D01_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D01_O,Resta de Districte D01 - Andratx,Resto de Distrito D01 - Andratx,Rest of District D01 - Andratx,,,
20030101_07005_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07005,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D02,Districte D02 - Andratx,Distrito D02 - Andratx,District D02 - Andratx,,,
20030101_07005_D02_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D02_S001,"Districte D02, Secció S001 - Andratx","Distrito D02, Sección S001 - Andratx","District D02, Section S001 - Andratx",,,
20030101_07005_D02_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D02_O,Resta de Districte D02 - Andratx,Resto de Distrito D02 - Andratx,Rest of District D02 - Andratx,,,
20030101_07005_D03,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07005,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D03,Districte D03 - Andratx,Distrito D03 - Andratx,District D03 - Andratx,,,
20030101_07005_D03_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D03,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D03_S001,"Districte D03, Secció S001 - Andratx","Distrito D03, Sección S001 - Andratx","District D03, Section S001 - Andratx",,,
20030101_07005_D03_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D03,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07005_D03_O,Resta de Districte D03 - Andratx,Resto de Distrito D03 - Andratx,Rest of District D03 - Andratx,,,
07005_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07005,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07005_O,Resta d'Andratx,Resto de Andratx,Rest of Andratx,,,
07006,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES532,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07006,Artà,Artà,Artà,,,
20030101_07006_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07006,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07006_D01,Districte D01 - Artà,Distrito D01 - Artà,District D01 - Artà,,,
20030101_07006_D01_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07006_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07006_D01_S001,"Districte D01, Secció S001 - Artà","Distrito D01, Sección S001 - Artà","District D01, Section S001 - Artà",,,
20030101_07006_D01_S002,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07006_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07006_D01_S002,"Districte D01, Secció S002 - Artà","Distrito D01, Sección S002 - Artà","District D01, Section S002 - Artà",,,
20030101_07006_D01_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07006_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07006_D01_O,Resta de Districte D01 - Artà,Resto de Distrito D01 - Artà,Rest of District D01 - Artà,,,
20030101_07006_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07006,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07006_D02,Districte D02 - Artà,Distrito D02 - Artà,District D02 - Artà,,,
20030101_07006_D02_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07006_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07006_D02_S001,"Districte D02, Secció S001 - Artà","Distrito D02, Sección S001 - Artà","District D02, Section S001 - Artà",,,
20030101_07006_D02_S002,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07006_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07006_D02_S002,"Districte D02, Secció S002 - Artà","Distrito D02, Sección S002 - Artà","District D02, Section S002 - Artà",,,
20030101_07006_D02_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07006_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07006_D02_O,Resta de Districte D02 - Artà,Resto de Distrito D02 - Artà,Rest of District D02 - Artà,,,
07006_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07006,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07006_O,Resta d'Artà,Resto de Artà,Rest of Artà,,,
07007,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES532,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07007,Banyalbufar,Banyalbufar,Banyalbufar,,,
20030101_07007_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07007,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07007_D01,Districte D01 - Banyalbufar,Distrito D01 - Banyalbufar,District D01 - Banyalbufar,,,
20030101_07007_D01_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07007_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07007_D01_S001,"Districte D01, Secció S001 - Banyalbufar","Distrito D01, Sección S001 - Banyalbufar","District D01, Section S001 - Banyalbufar",,,
20030101_07007_D01_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07007_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07007_D01_O,Resta de Districte D01 - Banyalbufar,Resto de Distrito D01 - Banyalbufar,Rest of District D01 - Banyalbufar,,,
07007_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07007,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07007_O,Resta de Banyalbufar,Resto de Banyalbufar,Rest of Banyalbufar,,,
07008,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES532,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07008,Binissalem,Binissalem,Binissalem,,,
20030101_07008_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07008,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07008_D01,Districte D01 - Binissalem,Distrito D01 - Binissalem,District D01 - Binissalem,,,
20030101_07008_D01_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07008_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07008_D01_S001,"Districte D01, Secció S001 - Binissalem","Distrito D01, Sección S001 - Binissalem","District D01, Section S001 - Binissalem",,,
20030101_07008_D01_S002,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07008_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07008_D01_S002,"Districte D01, Secció S002 - Binissalem","Distrito D01, Sección S002 - Binissalem","District D01, Section S002 - Binissalem",,,
20030101_07008_D01_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07008_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07008_D01_O,Resta de Districte D01 - Binissalem,Resto de Distrito D01 - Binissalem,Rest of District D01 - Binissalem,,,
20030101_07008_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07008,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07008_D02,Districte D02 - Binissalem,Distrito D02 - Binissalem,District D02 - Binissalem,,,
20030101_07008_D02_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07008_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07008_D02_S001,"Districte D02, Secció S001 - Binissalem","Distrito D02, Sección S001 - Binissalem","District D02, Section S001 - Binissalem",,,
20030101_07008_D02_S002,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07008_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07008_D02_S002,"Districte D02, Secció S002 - Binissalem","Distrito D02, Sección S002 - Binissalem","District D02, Section S002 - Binissalem",,,
