code,parent,urn,name#ca,name#es,name#en,description#ca,description#es,description#en
20030101_07026_D04_S005,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_S005,"Districte D04, Secció S005 - Eivissa","Distrito D04, Sección S005 - Eivissa","District D04, Section S005 - Eivissa",,,
20030101_07026_D04_S006,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_S006,"Districte D04, Secció S006 - Eivissa","Distrito D04, Sección S006 - Eivissa","District D04, Section S006 - Eivissa",,,
20030101_07026_D04_S007,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_S007,"Districte D04, Secció S007 - Eivissa","Distrito D04, Sección S007 - Eivissa","District D04, Section S007 - Eivissa",,,
20030101_07026_D04_S008,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_S008,"Districte D04, Secció S008 - Eivissa","Distrito D04, Sección S008 - Eivissa","District D04, Section S008 - Eivissa",,,
20030101_07026_D04_S009,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_S009,"Districte D04, Secció S009 - Eivissa","Distrito D04, Sección S009 - Eivissa","District D04, Section S009 - Eivissa",,,
20030101_07026_D04_S010,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_S010,"Districte D04, Secció S010 - Eivissa","Distrito D04, Sección S010 - Eivissa","District D04, Section S010 - Eivissa",,,
20030101_07026_D04_S011,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_S011,"Districte D04, Secció S011 - Eivissa","Distrito D04, Sección S011 - Eivissa","District D04, Section S011 - Eivissa",,,
20030101_07026_D04_S012,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_S012,"Districte D04, Secció S012 - Eivissa","Distrito D04, Sección S012 - Eivissa","District D04, Section S012 - Eivissa",,,
20030101_07026_D04_S013,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_S013,"Districte D04, Secció S013 - Eivissa","Distrito D04, Sección S013 - Eivissa","District D04, Section S013 - Eivissa",,,
20030101_07026_D04_S014,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_S014,"Districte D04, Secció S014 - Eivissa","Distrito D04, Sección S014 - Eivissa","District D04, Section S014 - Eivissa",,,
20030101_07026_D04_S015,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_S015,"Districte D04, Secció S015 - Eivissa","Distrito D04, Sección S015 - Eivissa","District D04, Section S015 - Eivissa",,,
20030101_07026_D04_S016,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_S016,"Districte D04, Secció S016 - Eivissa","Distrito D04, Sección S016 - Eivissa","District D04, Section S016 - Eivissa",,,
20030101_07026_D04_S017,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_S017,"Districte D04, Secció S017 - Eivissa","Distrito D04, Sección S017 - Eivissa","District D04, Section S017 - Eivissa",,,
20030101_07026_D04_S018,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07026_D04_S018,"Districte D04, Secció S018 - Eivissa","Distrito D04, Sección S018 - Eivissa","District D04, Section S018 - Eivissa",,,
