TERRITORIO#es,TERRITORIO#ca,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca
Pollença,Pollença,07042,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,78.14,Valor provisional,Valor provisional,P,,,,
Pollença,Pollença,07042,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,79.04,Valor provisional,Valor provisional,P,,,,
Pollença,Pollença,07042,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,80.63,Valor provisional,Valor provisional,P,,,,
Ses Salines,Ses Salines,07059,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,63.89,Valor provisional,Valor provisional,P,,,,
Ses Salines,Ses Salines,07059,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,73.81,Valor provisional,Valor provisional,P,,,,
Ses Salines,Ses Salines,07059,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,65.91,Valor provisional,Valor provisional,P,,,,
Sant Llorenç des Cardassar,Sant Llorenç des Cardassar,07051,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,81.75,Valor provisional,Valor provisional,P,,,,
Sant Llorenç des Cardassar,Sant Llorenç des Cardassar,07051,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,86.42,Valor provisional,Valor provisional,P,,,,
Sant Llorenç des Cardassar,Sant Llorenç des Cardassar,07051,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,81.25,Valor provisional,Valor provisional,P,,,,
Santa Margalida,Santa Margalida,07055,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,77.69,Valor provisional,Valor provisional,P,,,,
Santa Margalida,Santa Margalida,07055,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,82.36,Valor provisional,Valor provisional,P,,,,
Santa Margalida,Santa Margalida,07055,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,79.00,Valor provisional,Valor provisional,P,,,,
Santanyí,Santanyí,07057,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,72.49,Valor provisional,Valor provisional,P,,,,
Santanyí,Santanyí,07057,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,75.30,Valor provisional,Valor provisional,P,,,,
